Job,Type
Accountant,1
Administrator,1
Advertising (Indoor) Staff - Not Involving Manual Work,1
Airport (Indoor) Staff - Not Involving Manual Work,1
Architect (Indoor) - Not Involving Manual Work,1
Baker,3
Bakery - Shop Salesman,3
Bank - Managerial / Clerical Staff,1
Beautician / Manicurist,1
Boarding House Keeper,3
Book Binder,3
Book Keeper,1
Books Salesman,2
Boot & Shoe Maker & Repairer,3
Building Caretaker,3
Cashier (Indoor) - Not Involving Manual Work,1
Chauffeurs,2
Chinese Herbalist / Bonesetter/ Acupuncturist,1
Chiropractor,1
Clergymen / Priest,1
Clinic Nurse,1
Clock & Watch Manufacture & Repair Worker,3
Collector - Rent,2
Commercial Traveler - Not Involving Manual Work,2
Computer Data Processors,1
Computer Programmer,1
Dental Mechanic,3
Dentist,1
Doctor / Physician / Surgeon,1
Draughtsman (Indoor) - Not Involving Manual Work,1
Driving Instructors,3
Electronic Factory Worker,3
Florist (Indoor) Salesman,1
Florist (Outdoor) Salesman,2
Fur (Indoor) Salesman,1
Fur (Outdoor) Salesman,2
Garment Worker,3
Hairstylist,2
Hospital Nurse,2
Hotel - Clerical Staff,1
Hotel - Food & Beverage Staff Waiter / Waitress,3
Hotel - Kitchen Staff,3
Housewife,1
Indoor Cleaning Worker,3
Indoor Clerk,1
Indoor Sales Representative,1
Insurance Agent/Broker,1
Lawyer,1
Lecturer,1
Librarian,1
Loss Adjuster,2
Messenger,2
Midwife,2
Office - Managerial / Clerical Staff,1
Optician,1
Outdoor Sales Representative - Not Involving Manual Work,2
Petrol Station Worker,3
Pharmacist,1
Physiotherapist,1
Postman,2
Printing Worker,3
Property Agent,2
Restaurant / Cafés - Kitchen Staff,3
Restaurant / Cafés - Waiter / Waitress,3
Security Guard,3
Stock Broker,1
Student,1
Tailor,2
Taxi Driver,3
Teacher,1
Veterinary Surgeon,2
